constructorResultsId,raceId,constructorId,points,status,driver1,driver2
1444,155,mclaren,0,\N,0,0
1445,156,mclaren,14,\N,10,4
1446,156,ferrari,6,\N,6,0
1449,156,sauber,1,\N,1,0
1454,156,williams,0,\N,0,0
1456,157,ferrari,12,\N,10,2
1457,157,williams,7,\N,6,1
1458,157,mclaren,7,\N,4,3
1461,157,sauber,0,\N,0,0
1467,158,ferrari,16,\N,10,6
1468,158,williams,4,\N,4,0
1473,158,sauber,0,\N,0,0
1475,158,mclaren,0,\N,0,0
1478,159,ferrari,10,\N,10,0
1481,159,williams,3,\N,2,1
1485,159,mclaren,0,\N,0,0
1488,159,sauber,0,\N,0,0
1489,160,ferrari,13,\N,10,3
1490,160,mclaren,10,\N,6,4
1492,160,sauber,1,\N,1,0
1498,160,williams,0,\N,0,0
1500,161,mclaren,16,\N,10,6
1501,161,ferrari,4,\N,4,0
1502,161,williams,5,\N,3,2
1505,161,sauber,0,\N,0,0
1511,162,mclaren,16,\N,10,6
1512,162,ferrari,6,\N,4,2
1513,162,williams,3,\N,3,0
1515,162,sauber,0,\N,0,0
1522,163,ferrari,13,\N,10,3
1523,163,mclaren,10,\N,6,4
1526,163,sauber,0,\N,0,0
1529,163,williams,0,\N,0,0
1533,164,mclaren,11,\N,10,1
1534,164,ferrari,6,\N,6,0
1537,164,sauber,2,\N,2,0
1542,164,williams,0,\N,0,0
1544,165,ferrari,16,\N,10,6
1546,165,mclaren,3,\N,3,0
1550,165,sauber,0,\N,0,0
1551,165,williams,0,\N,0,0
1555,166,mclaren,16,\N,10,6
1556,166,ferrari,4,\N,4,0
1558,166,williams,2,\N,2,0
1561,166,sauber,0,\N,0,0
1566,167,mclaren,16,\N,10,6
1567,167,ferrari,4,\N,4,0
1569,167,williams,2,\N,2,0
1570,167,sauber,1,\N,1,0
1577,168,ferrari,10,\N,10,0
1578,168,mclaren,10,\N,6,4
1579,168,williams,3,\N,3,0
1580,168,sauber,2,\N,2,0
1588,169,mclaren,14,\N,10,4
1589,169,ferrari,9,\N,6,3
1590,169,williams,2,\N,2,0
1593,169,sauber,0,\N,0,0
1599,170,mclaren,13,\N,10,3
1600,170,ferrari,6,\N,6,0
1601,170,williams,6,\N,4,2
1605,170,sauber,0,\N,0,0
1610,171,ferrari,10,\N,10,0
1611,171,mclaren,6,\N,6,0
1612,171,williams,4,\N,4,0
1616,171,sauber,0,\N,0,0
1621,172,ferrari,16,\N,10,6
1624,172,mclaren,2,\N,2,0
1626,172,sauber,0,\N,0,0
1630,172,williams,0,\N,0,0
1632,173,ferrari,13,\N,10,3
1633,173,mclaren,10,\N,6,4
1634,173,williams,2,\N,2,0
1637,173,sauber,0,\N,0,0
1643,174,ferrari,14,\N,10,4
1644,174,mclaren,9,\N,6,3
1648,174,sauber,0,\N,0,0
1653,174,williams,0,\N,0,0
1654,175,ferrari,10,\N,10,0
1656,175,williams,4,\N,4,0
1662,175,sauber,0,\N,0,0
1664,175,mclaren,0,\N,0,0
1665,176,mclaren,10,\N,10,0
1666,176,ferrari,8,\N,6,2
1668,176,williams,3,\N,3,0
1675,176,sauber,0,\N,0,0
1676,177,ferrari,10,\N,10,0
1677,177,mclaren,6,\N,6,0
1681,177,sauber,1,\N,1,0
1684,177,williams,0,\N,0,0
1687,178,ferrari,16,\N,10,6
1688,178,mclaren,4,\N,4,0
1692,178,williams,0,\N,0,0
1694,178,sauber,0,\N,0,0
1698,179,mclaren,16,\N,10,6
1699,179,ferrari,7,\N,4,3
1700,179,williams,2,\N,2,0
1707,179,sauber,0,\N,0,0
1709,180,mclaren,10,\N,10,0
1711,180,ferrari,4,\N,4,0
1712,180,williams,3,\N,3,0
1714,180,sauber,1,\N,1,0
1721,181,mclaren,6,\N,6,0
1723,181,williams,3,\N,3,0
1724,181,ferrari,3,\N,2,1
1730,181,sauber,0,\N,0,0
1731,182,mclaren,10,\N,10,0
1732,182,ferrari,6,\N,6,0
1733,182,williams,4,\N,4,0
1735,182,sauber,1,\N,1,0
1742,183,ferrari,10,\N,10,0
1743,183,mclaren,10,\N,6,4
1746,183,sauber,1,\N,1,0
1752,183,williams,0,\N,0,0
1753,184,ferrari,16,\N,10,6
1755,184,williams,3,\N,3,0
1756,184,mclaren,2,\N,2,0
1759,184,sauber,0,\N,0,0
1764,185,mclaren,16,\N,10,6
1765,185,ferrari,4,\N,4,0
1770,185,williams,0,\N,0,0
1774,185,sauber,0,\N,0,0
1775,186,mclaren,16,\N,10,6
1777,186,ferrari,3,\N,3,0
1778,186,williams,2,\N,2,0
1779,186,sauber,0,\N,0,0
1787,187,williams,6,\N,6,0
1788,187,ferrari,5,\N,4,1
1790,187,mclaren,2,\N,2,0
1792,187,sauber,0,\N,0,0
1799,188,williams,3,\N,3,0
1800,188,mclaren,2,\N,2,0
1802,188,ferrari,0,\N,0,0
1806,188,sauber,0,\N,0,0
1808,189,ferrari,16,\N,10,6
1809,189,mclaren,4,\N,4,0
1812,189,sauber,0,\N,0,0
1815,189,williams,0,\N,0,0
1819,190,mclaren,10,\N,10,0
1820,190,ferrari,10,\N,6,4
1822,190,williams,2,\N,2,0
1823,190,sauber,1,\N,1,0
1830,191,mclaren,16,\N,10,6
1831,191,williams,6,\N,4,2
1832,191,ferrari,3,\N,3,0
